Fleet No,Reg Plate,Year,Model,Operator,Livery,Status,Notes
1828,HF05 GGO,2005,Volvo B7TL East Lancs Myllennium Vyking,More.png,NFTGreen.png,In Service,
1829,HF05 GGP,2005,Volvo B7TL East Lancs Myllennium Vyking,More.png,NFTGreen.png,In Service,
1830,HF05 GGU,2005,Volvo B7TL East Lancs Myllennium Vyking,More.png,RedMore.png,In Service,
1831,HF05 GGV,2005,Volvo B7TL East Lancs Myllennium Vyking,More.png,HarbourBreezer.png,In Service,
1832,HF05 GGX,2005,Volvo B7TL East Lancs Myllennium Vyking,More.png,HarbourBreezer.png,In Service,
1833,HF05 GGY,2005,Volvo B7TL East Lancs Myllennium Vyking,More.png,HarbourBreezer.png,In Service,
1904,W504 WGH,2000,Volvo B7TL Plaxton President,SV.png,PrezzieTrainer.png,In Service,
1910,W474 WGH,2000,Volvo B7TL Plaxton President,Bluestar.png,PrezzieTrainer.png,Driver Training,
1928,W498 WGH,2000,Volvo B7TL Plaxton President,Bluestar.png,PrezzieTrainer.png,Driver Training,
1940,Y704 TGH,2001,Volvo B7TL Plaxton President,Bluestar.png,PrezzieTrainer.png,Driver Training,
1941,Y741 TGH,2001,Volvo B7TL Plaxton President,More.png,PrezzieTrainer.png,Withdrawn,
1942,Y742 TGH,2001,Volvo B7TL Plaxton President,More.png,PrezzieTrainer.png,Driver Training,
1943,Y743 TGH,2001,Volvo B7TL Plaxton President,More.png,PrezzieTrainer.png,Driver Training,
1991,WDL 691,2002,Volvo B7TL Plaxton President,SV.png,IslandBreezer.png,In Service,
1992,GSK 962,2002,Volvo B7TL Plaxton President,SV.png,IslandBreezer.png,In Service,
1993,HW52 EPN,2002,Volvo B7TL Plaxton President,events.png,SROld.png,Reserve,
1994,HW52 EPO,2002,Volvo B7TL Plaxton President,events.png,SROld.png,Withdrawn,
1995,HW52 EPP,2002,Volvo B7TL Plaxton President,Salisbury.png,SROld.png,Withdrawn,
1996,HW52 EPU,2002,Volvo B7TL Plaxton President,events.png,SROld.png,Reserve,
1997,HW52 EPV,2002,Volvo B7TL Plaxton President,events.png,SROld.png,Reserve,
2001,YN06 CGO,2006,Scania N94UB OmniCity,Swindon.png,OldMore.png,In Service,
2002,HF58 HTJ,2008,Scania N230UB OmniCity,SV.png,SVTRNG.png,In Service,
2003,HF58 HJG,2008,Scania N230UB OmniCity,SV.png,SVTRNG.png,In Service,
2004,HF58 HTK,2008,Scania N230UB OmniCity,Swindon.png,SouthernVectis.png,In Service,
2005,HF58 HTL,2008,Scania N230UB OmniCity,Bluestar.png,BluestarOld.png,Withdrawn,
2006,HF58 HTN,2008,Scania N230UB OmniCity,Swindon.png,BluestarOld.png,In Service,
2007,HF58 HTO,2008,Scania N230UB OmniCity,Swindon.png,SouthernVectis.png,In Service,
2008,HF58 HTP,2008,Scania N230UB OmniCity,Swindon.png,OldMore.png,In Service,
2009,HF58 HTT,2008,Scania N230UB OmniCity,More.png,OldMore.png,In Service,
2010,HF58 HTU,2008,Scania N230UB OmniCity,Swindon.png,OldMore.png,In Service,
2011,HF61 FWL,2011,Scania N230UB OmniCity,Bluestar.png,BluestarTNRG.png,Driver Training,
2012,HF61 FWM,2011,Scania N230UB OmniCity,Bluestar.png,BluestarTNRG.png,Driver Training,
2101,YT59 SFJ,2008,Scania K230UB Wright Solar,Swindon.png,Swindon.png,In Service,
2203,HF54 HFR,2004,Volvo B7RLE Wright Eclipse Urban,More.png,OldMore.png,In Service,
2204,HF54 HFT,2004,Volvo B7RLE Wright Eclipse Urban,Bluestar.png,BluestarTNRG.png,Driver Training,
2206,HF54 HFV,2004,Volvo B7RLE Wright Eclipse Urban,Salisbury.png,SalisburyTRNG.png,Driver Training,
2207,HF54 HFW,2004,Volvo B7RLE Wright Eclipse Urban,Salisbury.png,BluestarTNRG.png,Driver Training,
2208,HF54 HFX,2004,Volvo B7RLE Wright Eclipse Urban,More.png,OldMore.png,In Service,
2209,HF54 HFY,2004,Volvo B7RLE Wright Eclipse Urban,More.png,OldMore.png,In Service,
2213,HF54 HGD,2004,Volvo B7RLE Wright Eclipse Urban,More.png,BluestarTNRG.png,Driver Training,
2228,HF54 HHC,2004,Volvo B7RLE Wright Eclipse Urban,More.png,BluestarTNRG.png,Driver Training,
2238,HF05 HXH,2005,Volvo B7RLE Wright Eclipse Urban,More.png,OldMore.png,In Service,
2251,HF12 GVP,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2252,HF12 GVR,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2253,HF12 GVT,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2254,HF12 GVU,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2255,HF12 GVV,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2256,HF12 GVW,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2257,HF12 GVX,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2258,HF12 GVY,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2259,HF12 GVZ,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2260,HF12 GWA,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2261,HF12 GWC,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2262,HF12 GWD,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2263,HF12 GWE,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2264,HF12 GWG,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2265,HF12 GWJ,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2266,HF12 GWK,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2267,HF12 GWL,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2268,HF12 GWM,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2269,HF12 GWN,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2270,HF12 GWO,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2271,HF12 GWP,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2272,HF12 GWU,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2273,HF12 GWV,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2274,HF12 GWW,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2275,HF12 GWX,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2276,HF12 GWY,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2277,HF12 GWZ,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2278,HF12 GXA,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2279,HF12 GXB,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2280,HF12 GXC,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2281,HF12 GXD,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2282,HF12 GXE,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2283,HF12 GXG,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2284,HF12 GXH,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2285,HF12 GXJ,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
2286,HF12 GXK,2012,Volvo B7RLE Wright Eclipse 2,More.png,OldMore.png,In Service,
